"ID","Date","Year","Method_EN","Ti.1_So.2_Ha.3","Crop.type","Main.crop.or.cover.crop","Coordinates..center.of.the.field.","Country","Farm","geometry","Crop","type","Month"
279,"2024-08-01",2024,"Harvesting",3,"Summer barley","Main crop","12.960570359127,45.6397150881748","NL","Unifarm","MULTIPOLYGON (((12.961607 45.637541, 12.961284 45.637632, 12.963155 45.640887, 12.963483 45.640794, 12.961607 45.637541)),((12.959498 45.63815, 12.961374 45.641396, 12.961695 45.641305, 12.959842 45.638053, 12.959498 45.63815)),((12.95769 45.638659, 12.9596 45.641904, 12.959917 45.641813, 12.958046 45.638559, 12.95769 45.638659)))","Summer crop",3,"August"
279,"2024-09-23",2024,"Sowing",2,"Other","Cover crop","12.9607691274788,45.6396764365779","NL","Unifarm","MULTIPOLYGON (((12.960888 45.637748, 12.960574 45.63784, 12.96244 45.641092, 12.96278 45.640995, 12.960888 45.637748)),((12.959135 45.638252, 12.958785 45.638351, 12.960663 45.6416, 12.960987 45.641507, 12.959135 45.638252)))","Cover crop",2,"September"
279,"2024-04-23",2024,"Sowing",2,"Summer barley","Main crop","12.9607691274788,45.6396764365779","NL","Unifarm","MULTIPOLYGON (((12.960888 45.637748, 12.960574 45.63784, 12.96244 45.641092, 12.96278 45.640995, 12.960888 45.637748)),((12.959135 45.638252, 12.958785 45.638351, 12.960663 45.6416, 12.960987 45.641507, 12.959135 45.638252)))","Summer crop",2,"April"
279,"2023-10-04",2023,"Harvesting",3,"Corn","Main crop","12.9607691274788,45.6396764365779","NL","Unifarm","MULTIPOLYGON (((12.960888 45.637748, 12.960574 45.63784, 12.96244 45.641092, 12.96278 45.640995, 12.960888 45.637748)),((12.959135 45.638252, 12.958785 45.638351, 12.960663 45.6416, 12.960987 45.641507, 12.959135 45.638252)))","Summer crop",3,"October"
279,"2023-05-30",2023,"Sowing",2,"Corn","Main crop","12.9607691274788,45.6396764365779","NL","Unifarm","MULTIPOLYGON (((12.960888 45.637748, 12.960574 45.63784, 12.96244 45.641092, 12.96278 45.640995, 12.960888 45.637748)),((12.959135 45.638252, 12.958785 45.638351, 12.960663 45.6416, 12.960987 45.641507, 12.959135 45.638252)))","Summer crop",2,"May"
280,"2023-08-11",2023,"Harvesting",3,"Winter wheat","Main crop","12.9607691274788,45.6396764365779","NL","Unifarm","MULTIPOLYGON (((12.960888 45.637748, 12.960574 45.63784, 12.96244 45.641092, 12.96278 45.640995, 12.960888 45.637748)),((12.959135 45.638252, 12.958785 45.638351, 12.960663 45.6416, 12.960987 45.641507, 12.959135 45.638252)))","Winter crop",3,"August"
280,"2022-12-07",2022,"Sowing",2,"Winter wheat","Main crop","12.9607691274788,45.6396764365779","NL","Unifarm","MULTIPOLYGON (((12.960888 45.637748, 12.960574 45.63784, 12.96244 45.641092, 12.96278 45.640995, 12.960888 45.637748)),((12.959135 45.638252, 12.958785 45.638351, 12.960663 45.6416, 12.960987 45.641507, 12.959135 45.638252)))","Winter crop",2,"December"
280,"2023-09-07",2023,"Sowing",2,"Other","Cover crop","12.9280312556435,45.6235671895389","NL","Unifarm","MULTIPOLYGON (((12.928809 45.622879, 12.930697 45.623414, 12.930874 45.623175, 12.928483 45.62249, 12.926825 45.622022, 12.926729 45.622292, 12.928809 45.622879)),((12.92802 45.622975, 12.9305 45.623681, 12.930682 45.623435, 12.928797 45.6229, 12.92672 45.622314, 12.926592 45.622574, 12.92802 45.622975)),((12.927975 45.623287, 12.930304 45.623945, 12.930485 45.623701, 12.928008 45.622996, 12.926581 45.622596, 12.926454 45.622856, 12.927975 45.623287)),((12.926311 45.623135, 12.927574 45.623489, 12.929302 45.623984, 12.929336 45.623937, 12.929388 45.623924, 12.930124 45.62415, 12.93016 45.624141, 12.93029 45.623965, 12.927963 45.623308, 12.926443 45.622877, 12.926311 45.623135)),((12.926094 45.623392, 12.928005 45.623929, 12.929116 45.624247, 12.929288 45.624005, 12.927562 45.62351, 12.926297 45.623155, 12.926108 45.623373, 12.926094 45.623392)),((12.928923 45.624518, 12.929101 45.624267, 12.927993 45.62395, 12.926079 45.623412, 12.9259 45.62366, 12.928923 45.624518)),((12.925777 45.623944, 12.927293 45.624369, 12.928736 45.624782, 12.928909 45.624538, 12.925885 45.62368, 12.925783 45.623887, 12.925777 45.623944)),((12.925765 45.624318, 12.928512 45.625097, 12.928721 45.624802, 12.927281 45.62439, 12.925775 45.623968, 12.925743 45.624294, 12.925765 45.624318)))","Cover crop",2,"September"
281,"2024-08-01",2024,"Harvesting",3,"Winter wheat","Main crop","12.9280312556435,45.6235671895389","NL","Unifarm","MULTIPOLYGON (((12.928809 45.622879, 12.930697 45.623414, 12.930874 45.623175, 12.928483 45.62249, 12.926825 45.622022, 12.926729 45.622292, 12.928809 45.622879)),((12.92802 45.622975, 12.9305 45.623681, 12.930682 45.623435, 12.928797 45.6229, 12.92672 45.622314, 12.926592 45.622574, 12.92802 45.622975)),((12.927975 45.623287, 12.930304 45.623945, 12.930485 45.623701, 12.928008 45.622996, 12.926581 45.622596, 12.926454 45.622856, 12.927975 45.623287)),((12.926311 45.623135, 12.927574 45.623489, 12.929302 45.623984, 12.929336 45.623937, 12.929388 45.623924, 12.930124 45.62415, 12.93016 45.624141, 12.93029 45.623965, 12.927963 45.623308, 12.926443 45.622877, 12.926311 45.623135)),((12.926094 45.623392, 12.928005 45.623929, 12.929116 45.624247, 12.929288 45.624005, 12.927562 45.62351, 12.926297 45.623155, 12.926108 45.623373, 12.926094 45.623392)),((12.928923 45.624518, 12.929101 45.624267, 12.927993 45.62395, 12.926079 45.623412, 12.9259 45.62366, 12.928923 45.624518)),((12.925777 45.623944, 12.927293 45.624369, 12.928736 45.624782, 12.928909 45.624538, 12.925885 45.62368, 12.925783 45.623887, 12.925777 45.623944)),((12.925765 45.624318, 12.928512 45.625097, 12.928721 45.624802, 12.927281 45.62439, 12.925775 45.623968, 12.925743 45.624294, 12.925765 45.624318)))","Winter crop",3,"August"
281,"2024-09-04",2024,"Sowing",2,"Other","Cover crop","12.9280312556435,45.6235671895389","NL","Unifarm","MULTIPOLYGON (((12.928809 45.622879, 12.930697 45.623414, 12.930874 45.623175, 12.928483 45.62249, 12.926825 45.622022, 12.926729 45.622292, 12.928809 45.622879)),((12.92802 45.622975, 12.9305 45.623681, 12.930682 45.623435, 12.928797 45.6229, 12.92672 45.622314, 12.926592 45.622574, 12.92802 45.622975)),((12.927975 45.623287, 12.930304 45.623945, 12.930485 45.623701, 12.928008 45.622996, 12.926581 45.622596, 12.926454 45.622856, 12.927975 45.623287)),((12.926311 45.623135, 12.927574 45.623489, 12.929302 45.623984, 12.929336 45.623937, 12.929388 45.623924, 12.930124 45.62415, 12.93016 45.624141, 12.93029 45.623965, 12.927963 45.623308, 12.926443 45.622877, 12.926311 45.623135)),((12.926094 45.623392, 12.928005 45.623929, 12.929116 45.624247, 12.929288 45.624005, 12.927562 45.62351, 12.926297 45.623155, 12.926108 45.623373, 12.926094 45.623392)),((12.928923 45.624518, 12.929101 45.624267, 12.927993 45.62395, 12.926079 45.623412, 12.9259 45.62366, 12.928923 45.624518)),((12.925777 45.623944, 12.927293 45.624369, 12.928736 45.624782, 12.928909 45.624538, 12.925885 45.62368, 12.925783 45.623887, 12.925777 45.623944)),((12.925765 45.624318, 12.928512 45.625097, 12.928721 45.624802, 12.927281 45.62439, 12.925775 45.623968, 12.925743 45.624294, 12.925765 45.624318)))","Cover crop",2,"September"
