"ID","Date","Year","Method_EN","Ti.1_So.2_Ha.3","Crop.type","Main.crop.or.cover.crop","Coordinates..center.of.the.field.","Country","Farm","geometry","Crop","type","Month"
88,"2024-06-29",2024,"Harvesting",3,"Rapeseed","Main crop","12.9635650842837,45.6349222315194","IT","Vallevecchia","MULTIPOLYGON (((12.96165 45.632675, 12.960865 45.633738, 12.960873 45.63399, 12.960862 45.634145, 12.960819 45.634332, 12.960794 45.634428, 12.96175 45.633136, 12.962415 45.632241, 12.962067 45.632116, 12.96165 45.632675)),((12.963711 45.633762, 12.962917 45.634834, 12.961952 45.636148, 12.962298 45.636273, 12.963104 45.635183, 12.964004 45.633969, 12.963817 45.633856, 12.963711 45.633762)),((12.964306 45.63565, 12.963515 45.636715, 12.9638 45.636817, 12.964655 45.635665, 12.965571 45.634422, 12.96526 45.634365, 12.964306 45.63565)),((12.963829 45.636827, 12.964176 45.636949, 12.965995 45.634497, 12.965782 45.634459, 12.965603 45.634427, 12.963829 45.636827)))","Winter crop",3,"June"
88,"2024-11-18",2024,"Sowing",2,"Brassica juncea","Cover crop","12.9635650842837,45.6349222315194","IT","Vallevecchia","MULTIPOLYGON (((12.96165 45.632675, 12.960865 45.633738, 12.960873 45.63399, 12.960862 45.634145, 12.960819 45.634332, 12.960794 45.634428, 12.96175 45.633136, 12.962415 45.632241, 12.962067 45.632116, 12.96165 45.632675)),((12.963711 45.633762, 12.962917 45.634834, 12.961952 45.636148, 12.962298 45.636273, 12.963104 45.635183, 12.964004 45.633969, 12.963817 45.633856, 12.963711 45.633762)),((12.964306 45.63565, 12.963515 45.636715, 12.9638 45.636817, 12.964655 45.635665, 12.965571 45.634422, 12.96526 45.634365, 12.964306 45.63565)),((12.963829 45.636827, 12.964176 45.636949, 12.965995 45.634497, 12.965782 45.634459, 12.965603 45.634427, 12.963829 45.636827)))","Cover crop",2,"November"
88,"2023-07-03",2023,"Harvesting",3,"Winter wheat","Main crop","12.9635650842837,45.6349222315194","IT","Vallevecchia","MULTIPOLYGON (((12.96165 45.632675, 12.960865 45.633738, 12.960873 45.63399, 12.960862 45.634145, 12.960819 45.634332, 12.960794 45.634428, 12.96175 45.633136, 12.962415 45.632241, 12.962067 45.632116, 12.96165 45.632675)),((12.963711 45.633762, 12.962917 45.634834, 12.961952 45.636148, 12.962298 45.636273, 12.963104 45.635183, 12.964004 45.633969, 12.963817 45.633856, 12.963711 45.633762)),((12.964306 45.63565, 12.963515 45.636715, 12.9638 45.636817, 12.964655 45.635665, 12.965571 45.634422, 12.96526 45.634365, 12.964306 45.63565)),((12.963829 45.636827, 12.964176 45.636949, 12.965995 45.634497, 12.965782 45.634459, 12.965603 45.634427, 12.963829 45.636827)))","Winter crop",3,"July"
88,"2024-07-15",2024,"Sowing",2,"Sudangrass","Cover crop","12.9561638093663,45.6336483082569","IT","Vallevecchia","MULTIPOLYGON (((12.953344 45.632336, 12.953205 45.632534, 12.953171 45.632584, 12.959185 45.634739, 12.959363 45.634507, 12.953344 45.632336)),((12.953157 45.632605, 12.953114 45.632669, 12.953041 45.632783, 12.953019 45.632823, 12.95901 45.634961, 12.959011 45.634961, 12.959048 45.634918, 12.95917 45.634759, 12.953157 45.632605)))","Cover crop",2,"July"
85,"2023-07-03",2023,"Harvesting",3,"Winter wheat","Main crop","12.9561638093663,45.6336483082569","IT","Vallevecchia","MULTIPOLYGON (((12.953344 45.632336, 12.953205 45.632534, 12.953171 45.632584, 12.959185 45.634739, 12.959363 45.634507, 12.953344 45.632336)),((12.953157 45.632605, 12.953114 45.632669, 12.953041 45.632783, 12.953019 45.632823, 12.95901 45.634961, 12.959011 45.634961, 12.959048 45.634918, 12.95917 45.634759, 12.953157 45.632605)))","Winter crop",3,"July"
85,"2023-09-15",2023,"Sowing",2,"Rapeseed","Main crop","12.9561638093663,45.6336483082569","IT","Vallevecchia","MULTIPOLYGON (((12.953344 45.632336, 12.953205 45.632534, 12.953171 45.632584, 12.959185 45.634739, 12.959363 45.634507, 12.953344 45.632336)),((12.953157 45.632605, 12.953114 45.632669, 12.953041 45.632783, 12.953019 45.632823, 12.95901 45.634961, 12.959011 45.634961, 12.959048 45.634918, 12.95917 45.634759, 12.953157 45.632605)))","Winter crop",2,"September"
89,"2024-07-15",2024,"Sowing",2,"Sudangrass","Cover crop","12.9561638093663,45.6336483082569","IT","Vallevecchia","MULTIPOLYGON (((12.953344 45.632336, 12.953205 45.632534, 12.953171 45.632584, 12.959185 45.634739, 12.959363 45.634507, 12.953344 45.632336)),((12.953157 45.632605, 12.953114 45.632669, 12.953041 45.632783, 12.953019 45.632823, 12.95901 45.634961, 12.959011 45.634961, 12.959048 45.634918, 12.95917 45.634759, 12.953157 45.632605)))","Cover crop",2,"July"
89,"2024-11-18",2024,"Sowing",2,"Vetch","Cover crop","12.9386815199108,45.6273904911874","IT","Vallevecchia","MULTIPOLYGON (((12.937022 45.626199, 12.93684 45.626443, 12.937755 45.626702, 12.940106 45.627366, 12.941043 45.627634, 12.941221 45.627386, 12.940549 45.627193, 12.938254 45.626545, 12.937022 45.626199)),((12.936447 45.62697, 12.937274 45.627206, 12.939249 45.627761, 12.940659 45.628165, 12.940839 45.627919, 12.94054 45.627833, 12.937843 45.627071, 12.936629 45.626727, 12.936447 45.62697)),((12.937263 45.627227, 12.936432 45.62699, 12.936216 45.62728, 12.936228 45.627302, 12.936761 45.627448, 12.937824 45.627746, 12.939037 45.628092, 12.940017 45.628367, 12.940395 45.628472, 12.940431 45.628463, 12.940644 45.628185, 12.939237 45.627782, 12.937263 45.627227)))","Cover crop",2,"November"
89,"2023-07-03",2023,"Harvesting",3,"Winter wheat","Main crop","12.9386815199108,45.6273904911874","IT","Vallevecchia","MULTIPOLYGON (((12.937022 45.626199, 12.93684 45.626443, 12.937755 45.626702, 12.940106 45.627366, 12.941043 45.627634, 12.941221 45.627386, 12.940549 45.627193, 12.938254 45.626545, 12.937022 45.626199)),((12.936447 45.62697, 12.937274 45.627206, 12.939249 45.627761, 12.940659 45.628165, 12.940839 45.627919, 12.94054 45.627833, 12.937843 45.627071, 12.936629 45.626727, 12.936447 45.62697)),((12.937263 45.627227, 12.936432 45.62699, 12.936216 45.62728, 12.936228 45.627302, 12.936761 45.627448, 12.937824 45.627746, 12.939037 45.628092, 12.940017 45.628367, 12.940395 45.628472, 12.940431 45.628463, 12.940644 45.628185, 12.939237 45.627782, 12.937263 45.627227)))","Winter crop",3,"July"
39,"2024-06-06",2024,"Termination cover crop",3,"Soybean","Main crop","12.9386815199108,45.6273904911874","IT","Vallevecchia","MULTIPOLYGON (((12.937022 45.626199, 12.93684 45.626443, 12.937755 45.626702, 12.940106 45.627366, 12.941043 45.627634, 12.941221 45.627386, 12.940549 45.627193, 12.938254 45.626545, 12.937022 45.626199)),((12.936447 45.62697, 12.937274 45.627206, 12.939249 45.627761, 12.940659 45.628165, 12.940839 45.627919, 12.94054 45.627833, 12.937843 45.627071, 12.936629 45.626727, 12.936447 45.62697)),((12.937263 45.627227, 12.936432 45.62699, 12.936216 45.62728, 12.936228 45.627302, 12.936761 45.627448, 12.937824 45.627746, 12.939037 45.628092, 12.940017 45.628367, 12.940395 45.628472, 12.940431 45.628463, 12.940644 45.628185, 12.939237 45.627782, 12.937263 45.627227)))","Summer crop",3,"June"
